@RELATION AuthorRecognition

@ATTRIBUTE ExclamationSentences REAL
@ATTRIBUTE InverseSentences REAL
@ATTRIBUTE NegatifSentences REAL
@ATTRIBUTE Connectives REAL
@ATTRIBUTE Nums REAL
@ATTRIBUTE Pronouns REAL
@ATTRIBUTE QuestionWords REAL
@ATTRIBUTE Abbreviations REAL
@ATTRIBUTE Times REAL
@ATTRIBUTE ColonSize REAL
@ATTRIBUTE CommaSize REAL
@ATTRIBUTE EllipsisPointSize REAL
@ATTRIBUTE HypenSize REAL
@ATTRIBUTE PointSize REAL
@ATTRIBUTE QuotationSize REAL
@ATTRIBUTE SemicolonSize REAL
@ATTRIBUTE ExlamationSize REAL
@ATTRIBUTE ParanthesisSize REAL
@ATTRIBUTE QuestionMarkSize REAL
@ATTRIBUTE CapitalLetterSize REAL
@ATTRIBUTE AverageSentencesLength REAL
@ATTRIBUTE AverageWordCountPerSentences REAL
@ATTRIBUTE AverageWordLength REAL
@ATTRIBUTE Dugasts REAL
@ATTRIBUTE Guiard REAL
@ATTRIBUTE Maas REAL
@ATTRIBUTE Rubet REAL
@ATTRIBUTE Sichel REAL
@ATTRIBUTE TypeTokenRatio REAL
@ATTRIBUTE AUTHOR {Taha-Akyol,Mehmet-Ali-Birand,Leyla-İpekçi,Ekrem-Dumanlı,Rasim-Ozan,Mehmet-Barlas,A-Turan-Alkan,Can-Ataklı,Reha-Muhtar,Rıdvan-Dilmen,Haşmet-Babaoğlu,Meryem-Koray,Nazlı-Ilıcak,Gözde-Bedeloğlu,Nazan-Bekiroğlu,Mehmet-Demirkol,Okay-Karacan,Hüseyin-Gülerce,İclal-Aydın,Ahmet-Çakar}

@DATA
382.0,574.0,319.0,2647.0,47.0,35.0,588.0,0.0,29.0,27.0,163.0,63.0,0.0,218.0,263.0,3636.0,163.0,18.0,45.0,15.0,54.0,7.0,6.0,620.0,1529.0,40.0,607.0,70.0,77.0,Haşmet-Babaoğlu
382.0,558.0,352.0,2602.0,59.0,78.0,1486.0,371.0,18.0,0.0,168.0,78.0,0.0,303.0,269.0,1123.0,146.0,0.0,22.0,12.0,55.0,8.0,5.0,571.0,1371.0,41.0,610.0,66.0,78.0,Haşmet-Babaoğlu
344.0,586.0,206.0,3610.0,57.0,25.0,0.0,0.0,28.0,12.0,233.0,51.0,0.0,272.0,285.0,0.0,129.0,0.0,12.0,20.0,66.0,9.0,6.0,580.0,1436.0,41.0,613.0,41.0,82.0,Haşmet-Babaoğlu
289.0,552.0,210.0,3658.0,20.0,65.0,2032.0,406.0,32.0,0.0,166.0,88.0,11.0,244.0,222.0,4444.0,122.0,0.0,100.0,25.0,45.0,6.0,5.0,562.0,1434.0,42.0,621.0,102.0,82.0,Haşmet-Babaoğlu
315.0,500.0,157.0,3496.0,41.0,34.0,699.0,0.0,10.0,41.0,194.0,27.0,0.0,291.0,222.0,0.0,166.0,0.0,55.0,18.0,54.0,7.0,6.0,591.0,1513.0,41.0,617.0,97.0,80.0,Haşmet-Babaoğlu
380.0,714.0,238.0,2631.0,42.0,42.0,526.0,0.0,63.0,0.0,180.0,114.0,0.0,311.0,229.0,0.0,147.0,0.0,16.0,14.0,65.0,9.0,6.0,503.0,1175.0,44.0,617.0,67.0,79.0,Haşmet-Babaoğlu
500.0,616.0,250.0,2902.0,50.0,63.0,1846.0,263.0,26.0,0.0,227.0,66.0,0.0,220.0,169.0,1470.0,220.0,0.0,80.0,25.0,41.0,6.0,5.0,650.0,1705.0,39.0,612.0,114.0,77.0,Haşmet-Babaoğlu
121.0,484.0,272.0,3267.0,58.0,32.0,326.0,0.0,13.0,0.0,135.0,74.0,0.0,395.0,234.0,4938.0,49.0,24.0,37.0,15.0,64.0,8.0,6.0,599.0,1469.0,40.0,609.0,93.0,76.0,Haşmet-Babaoğlu
428.0,750.0,214.0,4014.0,43.0,47.0,364.0,0.0,25.0,0.0,116.0,93.0,0.0,302.0,337.0,0.0,139.0,0.0,11.0,21.0,69.0,9.0,5.0,575.0,1389.0,41.0,610.0,86.0,76.0,Haşmet-Babaoğlu
277.0,611.0,250.0,1488.0,53.0,41.0,297.0,0.0,14.0,30.0,206.0,92.0,10.0,309.0,195.0,3092.0,103.0,0.0,20.0,14.0,64.0,9.0,6.0,616.0,1500.0,40.0,606.0,69.0,76.0,Haşmet-Babaoğlu
377.0,511.0,155.0,4333.0,56.0,40.0,1000.0,0.0,30.0,58.0,188.0,35.0,0.0,247.0,188.0,2352.0,200.0,23.0,35.0,16.0,47.0,6.0,6.0,597.0,1495.0,40.0,612.0,57.0,81.0,Haşmet-Babaoğlu
285.0,428.0,228.0,1796.0,68.0,53.0,598.0,0.0,32.0,37.0,212.0,37.0,0.0,275.0,225.0,1250.0,125.0,25.0,50.0,17.0,66.0,9.0,6.0,619.0,1559.0,40.0,610.0,73.0,79.0,Haşmet-Babaoğlu
428.0,642.0,190.0,3908.0,65.0,42.0,651.0,325.0,39.0,0.0,91.0,91.0,0.0,266.0,284.0,2752.0,165.0,55.0,18.0,16.0,53.0,7.0,6.0,607.0,1586.0,40.0,617.0,97.0,81.0,Haşmet-Babaoğlu
